title,credit_id,department,gender,id,job,name,id1,first_name,imdb,gender_prob,gender_guess
X-Men: Apocalypse,58346548925141691b006703,Art,0,1354916,Art Direction,Ravi Bansal,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835ac09925141691b017b01,Sound,2,1360099,Sound Designer,Lee Gilmore,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835ab909251416a31017c0d,Sound,0,1367493,Foley,John T. Cucci,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835aa3ec3a3682b3e01671e,Sound,0,1378722,Music Editor,Joseph Bonn,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835ab679251416d00017465,Editing,0,1384367,Dialogue Editor,Susan Dawes,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835aafa9251416a31017b90,Editing,0,1384372,First Assistant Editor,Ryan Chavez,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835aa52c3a3682f9d017b19,Sound,0,1384393,Music Editor,Amanda Goodpaster,NA,NA,NA,NA,NA
X-Men: Apocalypse,5849bb91c3a368141401795c,Directing,1,1384398,Script Supervisor,Christine Wilson,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a32fc3a3682ea10159f9,Costume &amp; Make-Up,0,1389623,Costume Supervisor,Daniel Grant North,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a3e3c3a3682f6c0163e7,Camera,0,1394756,Camera Operator,Daniel SauvĂŠ,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a414c3a3682fad016997,Lighting,0,1394757,Gaffer,John Lewin,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a7749251416a310178b7,Visual Effects,0,1394952,Special Effects Supervisor,Cameron Waldbauer,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835ac6fc3a3682f2a013d7a,Sound,0,1398946,Supervising Sound Editor,John A. Larsen,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835ab56c3a36829d9019866,Editing,0,1399057,Dialogue Editor,Jim Brookshire,NA,NA,NA,NA,NA
X-Men: Apocalypse,583466f19251416c6300633c,Directing,0,1401309,Script Supervisor,Nadia Guglieri,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a44ac3a3682b3e01627e,Camera,0,1402032,Steadicam Operator,Francois Archambault,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a939c3a3682ea1015eca,Costume &amp; Make-Up,0,1405201,Makeup Artist,Edwina Voda,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835aab79251416bc6017995,Editing,0,1406253,Digital Intermediate,Christian Prejza,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a4639251416d00016e81,Camera,0,1407028,Still Photographer,Alan Markfield,NA,NA,NA,NA,NA
X-Men: Apocalypse,5834656d9251416c630061e4,Art,0,1409701,Art Direction,Charlotte Rouleau,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a96dc3a3682fad016e34,Costume &amp; Make-Up,0,1409824,Wigmaker,Natasha Ladek,NA,NA,NA,NA,NA
X-Men: Apocalypse,5834669dc3a3682f9d006568,Production,0,1412306,Casting Associate,Tineka Becker,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a659c3a36829d90193c3,Crew,0,1412588,CG Supervisor,Frederic Breault,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835aa9f9251416bc601797d,Editing,0,1414558,Digital Intermediate,Andy Kaplan,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a3f99251416a310175d5,Camera,0,1420574,Camera Operator,Sylvaine Dufaux,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a637c3a36829d90193a3,Crew,0,1459922,CG Supervisor,James Rustad,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a829c3a3682f2a013a48,Visual Effects,0,1483135,VFX Editor,Elizabeth Leslie,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a6479251416d00017025,Crew,0,1494205,CG Supervisor,Eric Clement,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a4379251416d00016e50,Camera,2,1494209,Helicopter Camera,Richard Roles,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a3d09251416d00016dec,Camera,0,1519863,Camera Operator,Robert Mattigetz,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a7bec3a3682ea1015dcd,Visual Effects,0,1521757,Special Effects Supervisor,Steve Hamilton,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a2ef9251416d57016dba,Costume &amp; Make-Up,0,1525883,Assistant Costume Designer,Martine Gagnon,NA,NA,NA,NA,NA
